Market Name,Volume,TimeStamp
BTC-PIVX,596311.974692,2017-08-23T13:48:07.223
BTC-XVC,39281.4490556,2017-08-23T13:48:42.66
BTC-MEME,215028.514051,2017-08-23T13:43:35.907
BTC-STEEM,750559.267966,2017-08-23T13:48:32.52
BTC-2GIVE,7981281.4085,2017-08-23T13:47:13.473
BTC-LSK,1167531.25058,2017-08-23T13:48:50.177
BTC-PDC,62402.1350224,2017-08-23T13:35:48.387
BTC-BRK,149759.537588,2017-08-23T13:48:50.99
BTC-DGD,4295.30193545,2017-08-23T13:48:53.113
ETH-DGD,1918.08389833,2017-08-23T13:48:53.74
BTC-WAVES,395081.95694,2017-08-23T13:48:42.597
BTC-RISE,672388.493114,2017-08-23T13:47:19.487
BTC-LBC,1714429.12345,2017-08-23T13:48:54.16
BTC-SBD,374997.816419,2017-08-23T13:47:52.08
BTC-BRX,516151.900339,2017-08-23T13:48:55.177
BTC-DRACO,3679454.68357,2017-08-23T13:34:36.87
BTC-ETC,400217.378427,2017-08-23T13:48:56.177
ETH-ETC,32677.2342045,2017-08-23T13:48:55.66
BTC-STRAT,2821016.42958,2017-08-23T13:48:57.973
BTC-UNB,248992.416555,2017-08-23T13:43:19.373
BTC-SYNX,638317.492585,2017-08-23T13:48:40.207
BTC-TRIG,3960144.84468,2017-08-23T13:48:54.723
BTC-EBST,1709331.06641,2017-08-23T13:48:53.347
BTC-VRM,33453.8306641,2017-08-23T13:48:30.05
BTC-SEQ,1141078.17271,2017-08-23T13:47:30.3
BTC-XAUR,694028.11127,2017-08-23T13:47:34.347
BTC-SNGLS,2680216.27242,2017-08-23T13:48:53.66
BTC-REP,19523.8404691,2017-08-23T13:46:31.737
BTC-SHIFT,132486.787789,2017-08-23T13:49:01.097
BTC-ARDR,3868646.27088,2017-08-23T13:47:21.347
BTC-XZC,16113.0824776,2017-08-23T13:49:02.88
BTC-NEO,1185773.92093,2017-08-23T13:49:03.067
BTC-ZEC,6557.06517118,2017-08-23T13:48:48.52
BTC-ZCL,212888.47126,2017-08-23T13:46:56.097
BTC-IOP,58967.6935965,2017-08-23T13:49:01.113
BTC-DAR,211354.106508,2017-08-23T13:48:14.177
BTC-GOLOS,194538.329947,2017-08-23T13:38:34.513
BTC-HKG,2395656.90394,2017-08-23T13:48:01.473
BTC-UBQ,770473.265371,2017-08-23T13:48:52.393
BTC-KMD,300811.07947,2017-08-23T13:45:50.987
BTC-GBG,337805.79346,2017-08-23T13:42:11.67
BTC-SIB,17183.6565585,2017-08-23T13:44:02.97
BTC-ION,55278.8725169,2017-08-23T13:45:24.567
BTC-LMC,450319.20806,2017-08-23T13:48:33.66
BTC-QWARK,1952329.44116,2017-08-23T13:49:09.753
BTC-CRW,85477.0947107,2017-08-23T13:48:02.643
BTC-SWT,15913.850282,2017-08-23T13:30:01.96
BTC-TIME,14788.6249441,2017-08-23T13:49:03.753
BTC-MLN,982.34897918,2017-08-23T13:48:44.143
BTC-ARK,1030838.70215,2017-08-23T13:48:57.177
